Sales document,Customer_Number,Material,Pricing RC,RCDescription,Calendar Day,F8,$
903931766,3659314,8669647,#,#,01/03/2019,0,-454.3
973379766,3765262,2328161,230,Agreement Netprice,01/09/2019,20,634.9
973379766,3765262,2622501,230,Agreement Netprice,01/09/2019,40,1270.18
973309766,3185304,2651253,230,Agreement Netprice,01/15/2019,0,0
973309766,3185304,8104073,230,Agreement Netprice,01/15/2019,3,216.24
973309766,3185304,8105688,120,Pricing Engine ZGPD,01/15/2019,3,383.31
973309766,3185304,8104048,120,Pricing Engine ZGPD,01/15/2019,1,90.93
973309766,3185304,2651254,120,Pricing Engine ZGPD,01/15/2019,0,0
973372066,3671640,8957416,120,Pricing Engine ZGPD,01/09/2019,1,34.71
973372066,3671640,8957413,120,Pricing Engine ZGPD,01/09/2019,1,68.71
973372066,3671640,8121702,120,Pricing Engine ZGPD,01/09/2019,1,50.13
973372066,3671640,2358801,120,Pricing Engine ZGPD,01/09/2019,0,0
973372066,3671640,2358809,120,Pricing Engine ZGPD,01/09/2019,0,0
973372066,3671640,2358804,120,Pricing Engine ZGPD,01/09/2019,0,0
973372066,3671640,2677585,120,Pricing Engine ZGPD,01/09/2019,0,0
973372066,3671640,2358805,120,Pricing Engine ZGPD,01/09/2019,0,0
973372066,3671640,2352007,120,Pricing Engine ZGPD,01/09/2019,2,27.01
973372066,3671640,2352000,120,Pricing Engine ZGPD,01/09/2019,9,234.99
973268636,3872162,2330348,120,Pricing Engine ZGPD,01/16/2019,1,199
973268636,3872162,2337639,120,Pricing Engine ZGPD,01/16/2019,6,205
973268636,3872162,2324980,120,Pricing Engine ZGPD,01/16/2019,1,107
973264636,2609810,2602657,120,Pricing Engine ZGPD,01/17/2019,5,201.25
439877336,2158798,2305002,120,Pricing Engine ZGPD,01/22/2019,10,26.73
439876236,3310162,2680206,363,Overwr Price Eng Cust.NP - Z001,01/14/2019,0,0
439876236,3310162,8933743,363,Overwr Price Eng Cust.NP - Z001,01/14/2019,1,3704.4
439876236,3310162,2649252,363,Overwr Price Eng Cust.NP - Z001,01/14/2019,0,0
439876236,3310162,8104038,230,Agreement Netprice,01/14/2019,10,2247.8
439876236,3310162,2656048,363,Overwr Price Eng Cust.NP - Z001,01/14/2019,0,0
439876236,3310162,2680681,120,Pricing Engine ZGPD,01/14/2019,250,80.6
439876236,3310162,8436755,120,Pricing Engine ZGPD,01/14/2019,1,0
439876236,3310162,8969260,363,Overwr Price Eng Cust.NP - Z001,01/14/2019,0,0
953205236,3654253,8980156,230,Agreement Netprice,01/07/2019,20,982.2
953205236,3654253,2651253,230,Agreement Netprice,01/07/2019,0,0
953205236,3654253,8104073,230,Agreement Netprice,01/07/2019,5,454
953205236,3654253,8980145,230,Agreement Netprice,01/07/2019,20,1508
953205236,3654253,2369405,230,Agreement Netprice,01/07/2019,0,0
953205236,3654253,8105680,230,Agreement Netprice,01/07/2019,5,503.85
953205236,3654253,2366090,230,Agreement Netprice,01/07/2019,0,0
953205236,3654253,2336070,230,Agreement Netprice,01/07/2019,0,0
439853836,3654651,2261620,120,Pricing Engine ZGPD,01/04/2019,400,311.65
973232836,3679289,2639541,120,Pricing Engine ZGPD,01/22/2019,1,39
523875836,3767638,2388498,#,#,01/03/2019,1,0
523875836,3767638,2349131,#,#,01/03/2019,1,0
523875836,3767638,2388495,#,#,01/03/2019,1,0
973356136,3659314,8976529,120,Pricing Engine ZGPD,01/02/2019,2,1455.35
973356136,3659314,2301215,120,Pricing Engine ZGPD,01/02/2019,0,0
439878136,2176344,2355567,120,Pricing Engine ZGPD,01/16/2019,1,136
973354136,3594616,2622508,230,Agreement Netprice,01/07/2019,0,0
973354136,3594616,8104905,230,Agreement Netprice,01/07/2019,2,1682.66
523804136,2845766,2387315,#,#,01/17/2019,1,0
973260136,3492893,2394234,120,Pricing Engine ZGPD,01/21/2019,400,99.08
973356936,3673826,2397557,120,Pricing Engine ZGPD,01/02/2019,300,141.58
973356936,3673826,2685040,120,Pricing Engine ZGPD,01/02/2019,3,22.57
973340936,3654253,2362301,230,Agreement Netprice,01/02/2019,1,747.93
973340936,3654253,2348784,230,Agreement Netprice,01/02/2019,4,228.8
439850936,3678047,2301215,120,Pricing Engine ZGPD,01/14/2019,4,188.67
439850936,3678047,2305077,120,Pricing Engine ZGPD,01/14/2019,30,82.53
903986436,3052699,2305044,120,Pricing Engine ZGPD,01/14/2019,-12,-256.92
973263536,3673651,2313046,230,Agreement Netprice,01/16/2019,10,42.38
973344536,3278340,2601411,120,Pricing Engine ZGPD,01/01/2019,0,0
973340536,3659314,8122679,230,Agreement Netprice,01/03/2019,2,855.76
953866736,3678660,2659438,120,Pricing Engine ZGPD,01/15/2019,2,216.18
953866736,3678660,2622508,363,Overwr Price Eng Cust.NP - Z001,01/15/2019,20,660
953866736,3678660,2307629,120,Pricing Engine ZGPD,01/15/2019,50,148.73
439879736,3886801,2328161,230,Agreement Netprice,01/21/2019,20,587.68
973358036,3672073,2323949,120,Pricing Engine ZGPD,01/04/2019,3,72.6
973379036,3679552,8931353,120,Pricing Engine ZGPD,01/09/2019,1,2209.94
973379036,3679552,2648639,120,Pricing Engine ZGPD,01/09/2019,0,0
523874036,3678083,2344423,#,#,01/02/2019,1,0
973375036,3655035,2604624,120,Pricing Engine ZGPD,01/10/2019,1,36.25
973375036,3655035,2312444,363,Overwr Price Eng Cust.NP - Z001,01/10/2019,1,978.47
903920626,3012251,2680687,120,Pricing Engine ZGPD,01/11/2019,-100,-127.83
903926326,3672780,2303265,120,Pricing Engine ZGPD,01/02/2019,-1,-69
439872326,3651903,2653164,120,Pricing Engine ZGPD,01/16/2019,0,0
439858326,3679283,2655055,310,Overwr Price Eng Warranty,01/08/2019,1,0
973261326,2868948,2629026,120,Pricing Engine ZGPD,01/17/2019,8,135.3
973261326,2868948,8149632,120,Pricing Engine ZGPD,01/17/2019,1,211.88
973261326,2868948,2600699,230,Agreement Netprice,01/17/2019,10000,131.74
973359326,3319945,2669143,230,Agreement Netprice,01/04/2019,15,1284
439874326,3165985,2622501,120,Pricing Engine ZGPD,01/21/2019,20,984.87
973345326,3675371,8149667,120,Pricing Engine ZGPD,01/01/2019,0,0
953205326,3654837,2613511,230,Agreement Netprice,01/07/2019,2000,1029.9
439873226,3084608,2622508,120,Pricing Engine ZGPD,01/15/2019,0,0
439873226,3084608,8104905,120,Pricing Engine ZGPD,01/15/2019,1,898.45
973302226,3037879,2642580,120,Pricing Engine ZGPD,01/14/2019,100,40.84
401355226,3671414,2310069,#,#,01/09/2019,0,13.07
973375226,3674421,2327534,230,Agreement Netprice,01/10/2019,20,577.5
973300226,3211062,2680393,120,Pricing Engine ZGPD,01/15/2019,20,90.3
973304826,3675483,2313046,120,Pricing Engine ZGPD,01/15/2019,20,116.59
973267826,3828118,2680689,120,Pricing Engine ZGPD,01/21/2019,10,6.71
439853126,2668996,8986296,230,Agreement Netprice,01/04/2019,2,714.66
439853126,2668996,2363982,230,Agreement Netprice,01/04/2019,0,0
439853126,2668996,2363988,120,Pricing Engine ZGPD,01/04/2019,4,1422.66
439853126,2668996,2672278,120,Pricing Engine ZGPD,01/04/2019,300,1880.77
401304126,3904726,2330348,507,Customer,01/15/2019,1,198.99
973300126,3231530,8666732,120,Pricing Engine ZGPD,01/15/2019,4,476.17
973300126,3231530,8909598,230,Agreement Netprice,01/15/2019,5,660.55
973300126,3231530,2307660,230,Agreement Netprice,01/15/2019,4,31.96
973302926,3673652,2602654,120,Pricing Engine ZGPD,01/14/2019,8,322
439858926,3673651,2629064,120,Pricing Engine ZGPD,01/08/2019,8,67.63
973265926,3676105,2398496,120,Pricing Engine ZGPD,01/21/2019,200,250
973265926,3676105,2398493,120,Pricing Engine ZGPD,01/21/2019,200,290
973265926,3676105,2378848,120,Pricing Engine ZGPD,01/21/2019,20,27
973265926,3676105,2378841,120,Pricing Engine ZGPD,01/21/2019,10,42.5
973265926,3676105,2394224,120,Pricing Engine ZGPD,01/21/2019,1,26.5
973265926,3676105,2398494,120,Pricing Engine ZGPD,01/21/2019,40,800
973265926,3676105,2398495,120,Pricing Engine ZGPD,01/21/2019,60,225
439858426,3654651,2301186,120,Pricing Engine ZGPD,01/08/2019,6,66.77
973309526,3165154,2363982,120,Pricing Engine ZGPD,01/15/2019,0,0
973309526,3165154,8986292,120,Pricing Engine ZGPD,01/15/2019,1,1234.05
401345726,3671414,2355676,#,#,01/04/2019,0,10.44
401345726,3671414,2313606,#,#,01/04/2019,0,8.47
401345726,3671414,2342393,#,#,01/04/2019,0,13.07
401345726,3671414,2338112,#,#,01/04/2019,0,8.47
401345726,3671414,8178742,#,#,01/04/2019,0,22.88
401345726,3671414,2639541,#,#,01/04/2019,0,7.68
401345726,3671414,8142554,#,#,01/04/2019,0,25.69
401345726,3671414,2615685,#,#,01/04/2019,0,12.41
401345726,3671414,2384807,#,#,01/04/2019,0,68.53
401345726,3671414,2661570,#,#,01/04/2019,0,16.74
973262026,3678582,8986296,230,Agreement Netprice,01/16/2019,1,381.76
973262026,3678582,2363982,230,Agreement Netprice,01/16/2019,0,0
973262026,3678582,8986292,230,Agreement Netprice,01/16/2019,1,689.08
973262026,3678582,2363988,230,Agreement Netprice,01/16/2019,1,246.1
973351026,3384344,8960382,120,Pricing Engine ZGPD,01/04/2019,1,239.61
973371026,3655339,2394234,120,Pricing Engine ZGPD,01/09/2019,800,198.16
973309026,3756758,2680685,120,Pricing Engine ZGPD,01/14/2019,250,135.41
973350026,3676025,8149664,120,Pricing Engine ZGPD,01/07/2019,2,880.9
439856686,3673792,2699537,120,Pricing Engine ZGPD,01/03/2019,1,328.79
523801686,2625086,2341646,#,#,01/11/2019,1,0
523801686,2625086,2644909,#,#,01/11/2019,1,0
401349686,2885220,2654004,507,Customer,01/02/2019,4,114
401349686,2885220,2322125,507,Customer,01/02/2019,4,236
401349686,2885220,2655055,507,Customer,01/02/2019,8,232
903924686,3775596,8990628,120,Pricing Engine ZGPD,01/09/2019,-200,-136
973347686,2253181,8948443,363,Overwr Price Eng Cust.NP - Z001,01/01/2019,0,0
973347686,2253181,2645878,363,Overwr Price Eng Cust.NP - Z001,01/01/2019,0,0
973347686,2253181,2345319,363,Overwr Price Eng Cust.NP - Z001,01/01/2019,0,0
523807686,3075084,2623599,#,#,01/16/2019,1,0
523801386,3752018,2344423,#,#,01/14/2019,1,0
973302286,3654081,8980144,230,Agreement Netprice,01/11/2019,24,1955.28
973302286,3654081,2369405,230,Agreement Netprice,01/11/2019,0,0
973302286,3654081,2363910,230,Agreement Netprice,01/11/2019,0,0
973354286,3651710,8926963,230,Agreement Netprice,01/04/2019,1,299
973354286,3651710,2607923,230,Agreement Netprice,01/04/2019,0,0
973354286,3651710,2615685,230,Agreement Netprice,01/04/2019,1,178.16
973354286,3651710,8140817,230,Agreement Netprice,01/04/2019,1,500
973354286,3651710,2607307,230,Agreement Netprice,01/04/2019,0,0
973305286,3675394,2328008,120,Pricing Engine ZGPD,01/15/2019,1000,83.62
973340286,2298539,8974132,363,Overwr Price Eng Cust.NP - Z001,01/02/2019,1,849
973340286,2298539,2346851,363,Overwr Price Eng Cust.NP - Z001,01/02/2019,0,0
973340286,2298539,2346859,363,Overwr Price Eng Cust.NP - Z001,01/02/2019,0,0
973340286,2298539,2392879,363,Overwr Price Eng Cust.NP - Z001,01/02/2019,0,0
973340286,2298539,2654004,363,Overwr Price Eng Cust.NP - Z001,01/02/2019,0,0
973340286,2298539,2655055,363,Overwr Price Eng Cust.NP - Z001,01/02/2019,0,0
973340286,2298539,2392877,363,Overwr Price Eng Cust.NP - Z001,01/02/2019,0,0
973232886,3658135,2680685,120,Pricing Engine ZGPD,01/22/2019,250,112.84
973231886,3673651,2313093,230,Agreement Netprice,01/22/2019,300,393
973374886,3828118,2680283,120,Pricing Engine ZGPD,01/10/2019,10,66.45
523877886,3658830,2623598,#,#,01/07/2019,1,0
523877886,3658830,2692598,#,#,01/07/2019,1,0
439850886,3659361,2686626,120,Pricing Engine ZGPD,01/14/2019,0,0
439850886,3659361,8431404,120,Pricing Engine ZGPD,01/14/2019,1,0
439850886,3659361,8171330,120,Pricing Engine ZGPD,01/14/2019,3,2834.75
973356186,3654474,8104066,120,Pricing Engine ZGPD,01/03/2019,2,839.21
973356186,3654474,8936323,120,Pricing Engine ZGPD,01/03/2019,2,750.09
973356186,3654474,2600699,120,Pricing Engine ZGPD,01/03/2019,10000,205.89
973356186,3654474,2653164,120,Pricing Engine ZGPD,01/03/2019,0,0
973262186,2600125,8909512,120,Pricing Engine ZGPD,01/16/2019,1,244.75
973262186,2600125,2305078,120,Pricing Engine ZGPD,01/16/2019,0,0
973262186,2600125,2301215,120,Pricing Engine ZGPD,01/16/2019,11,518.85
439872186,3651282,2363983,120,Pricing Engine ZGPD,01/16/2019,0,0
439872186,3651282,8986210,120,Pricing Engine ZGPD,01/16/2019,2,313.92
439859186,2281460,8957952,363,Overwr Price Eng Cust.NP - Z001,01/09/2019,1,539
439859186,2281460,2346228,363,Overwr Price Eng Cust.NP - Z001,01/09/2019,0,0
439859186,2281460,2398727,363,Overwr Price Eng Cust.NP - Z001,01/09/2019,0,0
903916986,3148841,2380006,120,Pricing Engine ZGPD,01/22/2019,-300,-245.87
903916986,3148841,2304788,120,Pricing Engine ZGPD,01/22/2019,-1,-795
903916986,3148841,2324481,120,Pricing Engine ZGPD,01/22/2019,-100,-135.6
903916986,3148841,2600814,120,Pricing Engine ZGPD,01/22/2019,-120,-397.34
903916986,3148841,2397657,120,Pricing Engine ZGPD,01/22/2019,0,0
903916986,3148841,2384507,120,Pricing Engine ZGPD,01/22/2019,-4,-432
973356986,3654081,2398727,120,Pricing Engine ZGPD,01/02/2019,2,80.6
973358986,3654984,2313606,120,Pricing Engine ZGPD,01/03/2019,2,258
973358986,3654984,2306378,120,Pricing Engine ZGPD,01/03/2019,1,169
973358986,3654984,2383660,120,Pricing Engine ZGPD,01/03/2019,10,38.69
973359986,3828118,2328136,230,Agreement Netprice,01/07/2019,40,145.76
973359986,3828118,8184671,230,Agreement Netprice,01/07/2019,1,515.28
973359986,3828118,8194771,230,Agreement Netprice,01/07/2019,2,472.74
973379986,3672781,2363983,120,Pricing Engine ZGPD,01/10/2019,0,0
973379986,3672781,8986210,120,Pricing Engine ZGPD,01/10/2019,1,148.68
439850986,3651032,8104076,120,Pricing Engine ZGPD,01/14/2019,1,101.87
439850986,3651032,2651253,120,Pricing Engine ZGPD,01/14/2019,0,0
439850986,3651032,8105680,120,Pricing Engine ZGPD,01/14/2019,1,151.4
973300986,3211358,8964114,230,Agreement Netprice,01/15/2019,1,1528.21
973300986,3211358,8969260,230,Agreement Netprice,01/15/2019,0,0
523800986,3674248,2616366,#,#,01/18/2019,1,30
523800986,3674248,2344423,#,#,01/18/2019,1,0
523800986,3674248,2645245,#,#,01/18/2019,1,1
973301486,2609810,2363982,230,Agreement Netprice,01/14/2019,0,0
973301486,2609810,8910482,230,Agreement Netprice,01/14/2019,1,2910
973301486,2609810,8981538,230,Agreement Netprice,01/14/2019,1,6786.67
973301486,2609810,8105321,230,Agreement Netprice,01/14/2019,5,1082.1
973301486,2609810,8951559,120,Pricing Engine ZGPD,01/14/2019,1,2638.58
973301486,2609810,2312865,120,Pricing Engine ZGPD,01/14/2019,0,0
973301486,2609810,8436757,120,Pricing Engine ZGPD,01/14/2019,1,0
973301486,2609810,8969260,230,Agreement Netprice,01/14/2019,0,0
973301486,2609810,2669150,230,Agreement Netprice,01/14/2019,0,0
973301486,2609810,8138770,230,Agreement Netprice,01/14/2019,2,215.74
973314486,3655035,2307686,120,Pricing Engine ZGPD,01/01/2019,0,0
973314486,3655035,2622508,120,Pricing Engine ZGPD,01/01/2019,0,0
973375486,2640387,2313043,120,Pricing Engine ZGPD,01/16/2019,70,456.76
903927486,2318232,2311766,364,Overwr Price Eng Man.Disc. - Z190,01/11/2019,0,0
903927486,2318232,8468553,364,Overwr Price Eng Man.Disc. - Z190,01/11/2019,-1,0
903927486,2318232,2384129,364,Overwr Price Eng Man.Disc. - Z190,01/11/2019,0,0
973306586,3673826,8107213,230,Agreement Netprice,01/11/2019,2,135.38
973306586,3673826,2363008,230,Agreement Netprice,01/11/2019,0,0
973306586,3673826,2328161,230,Agreement Netprice,01/11/2019,40,932.34
973306586,3673826,2665695,230,Agreement Netprice,01/11/2019,0,0
973303586,3587710,2600619,120,Pricing Engine ZGPD,01/11/2019,42000,1767.15
903928586,3651190,2659526,120,Pricing Engine ZGPD,01/07/2019,-1,-1395.38
973347586,3154328,2310703,120,Pricing Engine ZGPD,01/01/2019,0,0
973347586,3154328,8991549,120,Pricing Engine ZGPD,01/01/2019,0,0
973347586,3154328,2310510,120,Pricing Engine ZGPD,01/01/2019,0,0
973347586,3154328,2382840,120,Pricing Engine ZGPD,01/01/2019,0,0
439850586,3679479,8194778,120,Pricing Engine ZGPD,01/14/2019,1,415.02
973356786,3657887,8104756,120,Pricing Engine ZGPD,01/02/2019,2,767.19
973356786,3657887,2313678,120,Pricing Engine ZGPD,01/02/2019,0,0
973356786,3657887,2313671,120,Pricing Engine ZGPD,01/02/2019,0,0
973356786,3657887,8104749,120,Pricing Engine ZGPD,01/02/2019,4,1500.06
439853786,3675866,8980145,230,Agreement Netprice,01/07/2019,2,199
439853786,3675866,2369405,230,Agreement Netprice,01/07/2019,0,0
439853786,3675866,2336070,230,Agreement Netprice,01/07/2019,0,0
523802786,3129185,2623599,#,#,01/11/2019,1,27
973301786,3675828,8431404,120,Pricing Engine ZGPD,01/14/2019,1,0
953209786,3659623,8936323,230,Agreement Netprice,01/04/2019,10,1401.7
953209786,3659623,8964111,230,Agreement Netprice,01/04/2019,1,1686.21
953209786,3659623,8969260,230,Agreement Netprice,01/04/2019,0,0
523874786,3828232,2344423,#,#,01/02/2019,1,0
523874786,3828232,2342340,#,#,01/02/2019,1,87.61
439850786,3672382,2328161,120,Pricing Engine ZGPD,01/14/2019,20,1003.41
439850786,3672382,2665695,120,Pricing Engine ZGPD,01/14/2019,1,20.7
953866086,3671027,8972682,120,Pricing Engine ZGPD,01/14/2019,5,524.7
953866086,3671027,8431404,120,Pricing Engine ZGPD,01/15/2019,1,0
973378086,3659428,2651473,230,Agreement Netprice,01/09/2019,2,237.54
973378086,3659428,2637097,230,Agreement Netprice,01/09/2019,2,297.46
973353616,2349299,2650866,310,Overwr Price Eng Warranty,01/02/2019,1,0
973304616,3657770,2313093,120,Pricing Engine ZGPD,01/14/2019,0,0
973304616,3657770,8185852,120,Pricing Engine ZGPD,01/14/2019,1,342.26
401349316,2953510,2611233,507,Customer,01/02/2019,0,0
401349316,2953510,8984443,507,Customer,01/02/2019,0,0
401349316,2953510,2657932,507,Customer,01/02/2019,0,0
401349316,2953510,8987582,507,Customer,01/02/2019,1,3078.91
401349316,2953510,8984768,507,Customer,01/02/2019,0,0
401349316,2953510,2390734,507,Customer,01/02/2019,0,0
401349316,2953510,2657924,507,Customer,01/02/2019,0,0
401349316,2953510,2311684,507,Customer,01/02/2019,0,0
401349316,2953510,2318574,507,Customer,01/02/2019,0,0
401349316,2953510,2345315,507,Customer,01/02/2019,0,0
401349316,2953510,8918217,507,Customer,01/02/2019,1,4028.8
401349316,2953510,2365720,507,Customer,01/02/2019,0,0
439855316,3673009,8915068,120,Pricing Engine ZGPD,01/10/2019,1,126.97
439855316,3673009,2332548,120,Pricing Engine ZGPD,01/10/2019,0,0
439855316,3673009,2332549,120,Pricing Engine ZGPD,01/10/2019,0,0
439855316,3673009,8915064,120,Pricing Engine ZGPD,01/10/2019,1,193.26
439855316,3673009,2681634,120,Pricing Engine ZGPD,01/10/2019,1,9.22
973375316,2811884,2310036,230,Agreement Netprice,01/11/2019,0,0
973375316,2811884,2355676,230,Agreement Netprice,01/11/2019,0,0
973375316,2811884,8148512,230,Agreement Netprice,01/11/2019,0,0
973375316,2811884,2351958,230,Agreement Netprice,01/11/2019,0,0
973375316,2811884,2639541,230,Agreement Netprice,01/11/2019,0,0
973375316,2811884,8921997,230,Agreement Netprice,01/11/2019,1,533.93
973375316,2811884,2384807,230,Agreement Netprice,01/11/2019,0,0
973375316,2811884,2367420,230,Agreement Netprice,01/11/2019,0,0
973356216,3675309,2394806,363,Overwr Price Eng Cust.NP - Z001,01/02/2019,27000,2403
973378216,3883625,2313096,230,Agreement Netprice,01/09/2019,50,65.42
973357216,3828118,2602657,230,Agreement Netprice,01/08/2019,2,66.08
973377116,3737038,8986296,120,Pricing Engine ZGPD,01/10/2019,1,446.38
973377116,3737038,2363982,120,Pricing Engine ZGPD,01/10/2019,0,0
439840116,3657770,2651473,120,Pricing Engine ZGPD,01/03/2019,1,228.93
439840116,3657770,2637097,120,Pricing Engine ZGPD,01/03/2019,1,248.66
973306916,3676691,8663660,120,Pricing Engine ZGPD,01/14/2019,2,385.84
523872916,3672161,2308636,#,#,01/04/2019,1,0
523872916,3672161,2308633,#,#,01/04/2019,1,0
523872916,3672161,2308623,#,#,01/04/2019,1,0
523872916,3672161,2308631,#,#,01/04/2019,1,0
523872916,3672161,2317889,#,#,01/04/2019,5,0
523872916,3672161,2317884,#,#,01/04/2019,2,0
523872916,3672161,2302710,#,#,01/04/2019,1,0
523872916,3672161,2394250,#,#,01/04/2019,1,0
973301916,3671640,2328008,120,Pricing Engine ZGPD,01/14/2019,6000,625.8
973301916,3671640,8431404,120,Pricing Engine ZGPD,01/14/2019,1,0
973301916,3671640,2653167,120,Pricing Engine ZGPD,01/14/2019,0,0
903988416,3657887,2671242,120,Pricing Engine ZGPD,01/16/2019,-5,-1045
903988416,3657887,2312865,230,Agreement Netprice,01/16/2019,-5,-2500
903988416,3657887,8998660,363,Overwr Price Eng Cust.NP - Z001,01/16/2019,-160,-2724.8
